Date,Open,High,Low,Close,Adj Close,Volume
3/01/06,10.34,10.678572,10.321428,10.678572,7.175994,201808600
4/01/06,10.732857,10.854285,10.642858,10.71,7.197113,154900900
5/01/06,10.69,10.7,10.535714,10.625714,7.140473,112355600
6/01/06,10.75,10.957143,10.65,10.9,7.324792,176114400
9/01/06,10.961429,11.028571,10.82,10.864285,7.300795,168760200
10/01/06,10.892858,11.698571,10.832857,11.551429,7.762553,569967300
11/01/06,11.977143,12.114285,11.798572,11.985714,8.054391,373448600
12/01/06,12.138572,12.342857,11.945714,12.041429,8.091832,320202400
13/01/06,12.141429,12.287143,12.085714,12.227143,8.216632,194076400
17/01/06,12.242857,12.34,11.981428,12.101429,8.132153,208905900
18/01/06,11.868571,12.007143,11.692857,11.784286,7.919035,300159300
19/01/06,11.607142,11.665714,11.248571,11.291429,7.587833,423962000
20/01/06,11.325714,11.434286,10.832857,10.87,7.304634,283689700
23/01/06,10.871428,11.365714,10.857142,11.095715,7.456312,264932500
24/01/06,11.251429,11.345715,10.824286,10.862857,7.299832,285563600
25/01/06,11.055715,11.071428,10.464286,10.6,7.123194,318946600
26/01/06,10.647142,10.775714,10.275714,10.332857,6.943673,295346800
27/01/06,10.421429,10.514286,10.157143,10.29,6.914873,238466200
30/01/06,10.167143,10.942857,10.124286,10.714286,7.199994,349600300
31/01/06,10.785714,10.905714,10.535714,10.787143,7.248953,228385500
1/02/06,10.707143,10.922857,10.662857,10.774285,7.240314,130296600
2/02/06,10.728572,10.765715,10.292857,10.3,6.921593,176830500
3/02/06,10.32,10.398571,10.148571,10.264286,6.897593,173030900
6/02/06,10.288571,10.358571,9.534286,9.614285,6.460793,412941900
7/02/06,9.752857,9.925714,9.525714,9.657143,6.489594,347207700
8/02/06,9.784286,9.868571,9.428572,9.83,6.605754,238278600
9/02/06,9.871428,9.89,9.218572,9.278571,6.235194,287441000
10/02/06,9.311429,9.667143,8.985714,9.615714,6.461753,440119400
13/02/06,9.518572,9.535714,9.234285,9.244286,6.212155,220874500
14/02/06,9.3,9.728572,9.285714,9.662857,6.493434,290234700
15/02/06,9.594286,9.945714,9.535714,9.888572,6.645114,289942800
16/02/06,9.987143,10.144286,9.925714,10.081429,6.774714,237043800
17/02/06,10.042857,10.127143,9.944285,10.041429,6.747833,143999800
21/02/06,10.084286,10.114285,9.811429,9.868571,6.631671,194901700
22/02/06,9.857142,10.238571,9.714286,10.188571,6.846714,244559700
23/02/06,10.255714,10.428572,10.204286,10.25,6.887994,214229400
24/02/06,10.305715,10.412857,10.171429,10.208571,6.860153,133686000
27/02/06,10.284286,10.302857,10.092857,10.141429,6.815035,197810200
28/02/06,10.225715,10.342857,9.728572,9.784286,6.575033,316745100
1/03/06,9.834286,9.927143,9.717143,9.871428,6.633594,190954400
2/03/06,9.855714,9.998571,9.81,9.944285,6.682554,156318400
3/03/06,9.914286,9.987143,9.647142,9.674286,6.501114,184417100
6/03/06,9.67,9.674286,9.277143,9.354285,6.286072,228166400
7/03/06,9.394286,9.557143,9.297143,9.472857,6.365754,218219400
8/03/06,9.47,9.6,9.335714,9.38,6.303354,163312800
9/03/06,9.425714,9.495714,9.115714,9.132857,6.137275,199826200
10/03/06,9.15,9.212857,8.921429,9.027143,6.066234,260785700
13/03/06,9.292857,9.468572,9.255714,9.382857,6.305275,215296900
14/03/06,9.395715,9.617143,9.357142,9.617143,6.462716,160505100
15/03/06,9.672857,9.72,9.36,9.461429,6.358073,222999000
16/03/06,9.55,9.557143,9.185715,9.187143,6.173754,187409600
17/03/06,9.25,9.362857,9.158571,9.237143,6.207354,203010500
20/03/06,9.317142,9.351429,9.124286,9.141429,6.143034,151360300
21/03/06,8.83,9.191428,8.77,8.83,5.933754,336341600
22/03/06,8.88,9.035714,8.752857,8.81,5.920314,336473900
23/03/06,8.831429,8.842857,8.515715,8.594286,5.775353,356956600
24/03/06,8.607142,8.705714,8.432858,8.565714,5.756153,267995000
27/03/06,8.621428,8.768572,8.485714,8.501429,5.712955,277018000
