Date,Open,High,Low,Close,Adj Close,Volume
3/01/06,3.865714,3.874286,3.588571,3.721429,3.721429,15659700
4/01/06,3.642857,3.68,3.517143,3.571429,3.571429,15950200
5/01/06,3.552857,3.578571,3.535714,3.561429,3.561429,8123500
6/01/06,3.56,3.648571,3.547143,3.575714,3.575714,8539300
9/01/06,3.572857,3.607143,3.5,3.571429,3.571429,8081500
10/01/06,3.557143,3.635714,3.545714,3.632857,3.632857,7893900
11/01/06,3.621428,3.692857,3.535714,3.55,3.55,8747900
12/01/06,3.54,3.69,3.514286,3.674286,3.674286,11428900
13/01/06,3.661429,3.697143,3.634286,3.651428,3.651428,6004600
17/01/06,3.615714,3.7,3.56,3.68,3.68,7396200
18/01/06,3.644286,3.658571,3.531429,3.55,3.55,5744900
19/01/06,3.548571,3.675714,3.537143,3.631428,3.631428,8390200
20/01/06,3.55,3.628572,3.352857,3.352857,3.352857,13645100
23/01/06,3.371428,3.434286,3.298571,3.325714,3.325714,9058000
24/01/06,3.348572,3.535714,3.348572,3.534286,3.534286,37796500
25/01/06,4.082857,4.274286,3.997143,4.084286,4.084286,72373000
26/01/06,4.072857,4.15,4.071429,4.142857,4.142857,17522400
27/01/06,4.072857,4.085714,3.895714,3.974286,3.974286,20804000
30/01/06,4.002857,4.014286,3.912857,3.942857,3.942857,14697900
31/01/06,3.935714,3.998571,3.884286,3.935714,3.935714,13813800
1/02/06,3.907143,3.928571,3.785714,3.872857,3.872857,11245500
2/02/06,3.864286,3.921429,3.674286,3.728571,3.728571,18517800
3/02/06,3.714286,3.752857,3.621428,3.73,3.73,9202900
6/02/06,3.75,3.755714,3.668571,3.754286,3.754286,8971900
7/02/06,3.77,3.78,3.678571,3.702857,3.702857,7437500
8/02/06,3.695714,3.718571,3.572857,3.591429,3.591429,12098100
9/02/06,3.572857,3.61,3.494286,3.511429,3.511429,10283000
10/02/06,3.521429,3.677143,3.484286,3.632857,3.632857,10423700
13/02/06,3.637143,3.638572,3.571429,3.604286,3.604286,7714700
14/02/06,3.571429,3.585714,3.427143,3.512857,3.512857,11390400
15/02/06,3.492857,3.607143,3.492857,3.564286,3.564286,9583700
16/02/06,3.554286,3.631428,3.554286,3.592857,3.592857,4835600
17/02/06,3.584286,3.607143,3.562857,3.568571,3.568571,4440100
21/02/06,3.6,3.677143,3.581429,3.677143,3.677143,8024100
22/02/06,3.678571,3.792857,3.671429,3.767143,3.767143,8131900
23/02/06,3.754286,3.754286,3.6,3.672857,3.672857,8695400
24/02/06,3.664286,3.731429,3.642857,3.711429,3.711429,4199300
27/02/06,3.748571,3.791429,3.737143,3.79,3.79,5584600
28/02/06,3.79,3.84,3.65,3.83,3.83,7469000
1/03/06,3.83,3.845714,3.712857,3.835714,3.835714,5990600
2/03/06,3.807143,3.874286,3.768571,3.83,3.83,4097800
3/03/06,3.8,3.852857,3.788571,3.822857,3.822857,4018700
6/03/06,3.84,3.84,3.614286,3.66,3.66,9734900
7/03/06,3.638572,3.694286,3.558571,3.637143,3.637143,6045200
8/03/06,3.642857,3.648571,3.572857,3.59,3.59,4598300
9/03/06,3.587143,3.681429,3.58,3.607143,3.607143,5110000
10/03/06,3.587143,3.685714,3.521429,3.65,3.65,7047600
13/03/06,3.581429,3.637143,3.574286,3.585714,3.585714,6333600
14/03/06,3.578571,3.658571,3.554286,3.631428,3.631428,3805200
15/03/06,3.602857,3.618572,3.557143,3.587143,3.587143,3675000
16/03/06,3.578571,3.664286,3.575714,3.638572,3.638572,3471300
17/03/06,3.645714,3.777143,3.59,3.738571,3.738571,9793700
20/03/06,3.764286,3.95,3.757143,3.868572,3.868572,9045400
21/03/06,3.892857,3.964286,3.85,3.881428,3.881428,5661600
22/03/06,3.867143,4.021429,3.864286,4.007143,4.007143,7182000
23/03/06,4.011428,4.092857,3.928571,4.041429,4.041429,7041300
24/03/06,4.024286,4.1,4.004286,4.095714,4.095714,3467800
27/03/06,4.057143,4.157143,4.037143,4.127143,4.127143,5318600
28/03/06,4.141428,4.142857,3.935714,4.004286,4.004286,8407700
29/03/06,4.018571,4.2,3.992857,4.172857,4.172857,7978600
30/03/06,4.158571,4.192857,4.015714,4.091429,4.091429,6499500
31/03/06,4.071429,4.158571,4.071429,4.141428,4.141428,3915100
3/04/06,4.141428,4.148571,3.997143,4.018571,4.018571,8521800
4/04/06,4.007143,4.021429,3.894286,3.915714,3.915714,11986100
5/04/06,3.85,4.128572,3.838571,4.094285,4.094285,14086100
6/04/06,4.082857,4.088572,3.992857,4.035714,4.035714,6432300
7/04/06,4.035714,4.16,3.951429,3.991429,3.991429,4972800
10/04/06,3.985714,4.088572,3.965714,4.035714,4.035714,5165300
11/04/06,4.057143,4.088572,3.977143,4.074286,4.074286,8251600
12/04/06,4.095714,4.155715,4.05,4.102857,4.102857,6859300
13/04/06,4.082857,4.18,4.078571,4.17,4.17,5076400
17/04/06,4.142857,4.171429,4.107143,4.171429,4.171429,5381600
18/04/06,4.18,4.267143,4.127143,4.257143,4.257143,8466500
19/04/06,4.252857,4.535714,4.185714,4.44,4.44,19187000
20/04/06,4.437143,4.471428,4.29,4.444286,4.444286,8883000
21/04/06,4.434286,4.47,4.341429,4.4,4.4,9218300
24/04/06,4.405715,4.532857,4.301429,4.462857,4.462857,31042200
25/04/06,4.715714,4.731429,4.457143,4.525714,4.525714,27640900
26/04/06,4.518571,4.571429,4.422857,4.497143,4.497143,14474600
27/04/06,4.541429,4.614286,4.441429,4.47,4.47,6516300
